Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,SEO Title,SEO Description,Status
amg-gt,AMG GT Black Series,"<p>Tylny dyfuzor, wielkie skrzydło i typografia rodem z materiałów prasowych AMG. Plakat dla tych, którzy poznają auto po dźwięku V8.</p>",OKŁADKA,Motoryzacja,"Motoryzacja, mercedes, amg, sport",TRUE,Rozmiar,A4,AMG-GT-A4,120,,,deny,manual,55.00,TRUE,TRUE,,AMG GT Black Series — plakat | OKŁADKA,"Tylny dyfuzor, wielkie skrzydło i typografia rodem z materiałów prasowych AMG. Plakat dla tych, którzy poznają auto po dźwięku V8.",active
amg-gt,,,,,,,,A3,AMG-GT-A3,180,,,deny,manual,89.00,TRUE,TRUE,,,,
amg-gt,,,,,,,,B2,AMG-GT-B2,320,,,deny,manual,145.00,TRUE,TRUE,,,,
mercedes-190e,Mercedes 190E Evolution II,"<p>Homologacyjna legenda DTM w chromowanej oprawie liczby 190E. Youngtimer, który dziś kosztuje jak nowy samochód.</p>",OKŁADKA,Motoryzacja,"Motoryzacja, mercedes, youngtimer, dtm",TRUE,Rozmiar,A4,MERCEDES-190E-A4,120,,,deny,manual,55.00,TRUE,TRUE,,Mercedes 190E Evolution II — plakat | OKŁADKA,"Homologacyjna legenda DTM w chromowanej oprawie liczby 190E. Youngtimer, który dziś kosztuje jak nowy samochód.",active
mercedes-190e,,,,,,,,A3,MERCEDES-190E-A3,180,,,deny,manual,89.00,TRUE,TRUE,,,,
mercedes-190e,,,,,,,,B2,MERCEDES-190E-B2,320,,,deny,manual,145.00,TRUE,TRUE,,,,
porsche-911,Porsche 911 GT3 RS,"<p>Granatowy pas, herb na środku i suchy zestaw danych: 525 KM, 296 km/h, 3,2 s. Techniczny plakat dla fana toru.</p>",OKŁADKA,Motoryzacja,"Motoryzacja, porsche, 911, tor",TRUE,Rozmiar,A4,PORSCHE-911-A4,120,,,deny,manual,55.00,TRUE,TRUE,,Porsche 911 GT3 RS — plakat | OKŁADKA,"Granatowy pas, herb na środku i suchy zestaw danych: 525 KM, 296 km/h, 3,2 s. Techniczny plakat dla fana toru.",active
porsche-911,,,,,,,,A3,PORSCHE-911-A3,180,,,deny,manual,89.00,TRUE,TRUE,,,,
porsche-911,,,,,,,,B2,PORSCHE-911-B2,320,,,deny,manual,145.00,TRUE,TRUE,,,,
cls63,Mercedes CLS 63 AMG,"<p>Czerń, mokry asfalt i biały numer CLS 63 na całą wysokość. Ciemny plakat, który dobrze wygląda przy lampce światła.</p>",OKŁADKA,Motoryzacja,"Motoryzacja, mercedes, amg, night",TRUE,Rozmiar,A4,CLS63-A4,120,,,deny,manual,55.00,TRUE,TRUE,,Mercedes CLS 63 AMG — plakat | OKŁADKA,"Czerń, mokry asfalt i biały numer CLS 63 na całą wysokość. Ciemny plakat, który dobrze wygląda przy lampce światła.",active
cls63,,,,,,,,A3,CLS63-A3,180,,,deny,manual,89.00,TRUE,TRUE,,,,
cls63,,,,,,,,B2,CLS63-B2,320,,,deny,manual,145.00,TRUE,TRUE,,,,
cheers,Cheers,"<p>Uniesione dłonie z kieliszkami i taco w prostym line-arcie. Ciepły akcent do kuchni, jadalni albo domowego baru.</p>",OKŁADKA,Typografia,"Typografia, kuchnia, line-art, impreza",TRUE,Rozmiar,A4,CHEERS-A4,120,,,deny,manual,45.00,TRUE,TRUE,,Cheers — plakat | OKŁADKA,"Uniesione dłonie z kieliszkami i taco w prostym line-arcie. Ciepły akcent do kuchni, jadalni albo domowego baru.",active
cheers,,,,,,,,A3,CHEERS-A3,180,,,deny,manual,75.00,TRUE,TRUE,,,,
cheers,,,,,,,,B2,CHEERS-B2,320,,,deny,manual,125.00,TRUE,TRUE,,,,
easier,Maybe It Is Easier Than You Think,"<p>Falująca, groovy typografia z lat 70. Motto, które łagodzi każdy poniedziałek i ociepla białą ścianę.</p>",OKŁADKA,Typografia,"Typografia, cytat, retro, groovy",TRUE,Rozmiar,A4,EASIER-A4,120,,,deny,manual,45.00,TRUE,TRUE,,Maybe It Is Easier Than You Think — plakat | OKŁADKA,"Falująca, groovy typografia z lat 70. Motto, które łagodzi każdy poniedziałek i ociepla białą ścianę.",active
easier,,,,,,,,A3,EASIER-A3,180,,,deny,manual,75.00,TRUE,TRUE,,,,
easier,,,,,,,,B2,EASIER-B2,320,,,deny,manual,125.00,TRUE,TRUE,,,,
chili-hot,Plans For The Year: Be Hot,<p>Jedno czerwone chili i krótki plan na cały rok. Minimalistyczny żart do kuchni z domieszką ostrości.</p>,OKŁADKA,Typografia,"Typografia, kuchnia, cytat, chili",TRUE,Rozmiar,A4,CHILI-HOT-A4,120,,,deny,manual,45.00,TRUE,TRUE,,Plans For The Year: Be Hot — plakat | OKŁADKA,Jedno czerwone chili i krótki plan na cały rok. Minimalistyczny żart do kuchni z domieszką ostrości.,active
chili-hot,,,,,,,,A3,CHILI-HOT-A3,180,,,deny,manual,75.00,TRUE,TRUE,,,,
chili-hot,,,,,,,,B2,CHILI-HOT-B2,320,,,deny,manual,125.00,TRUE,TRUE,,,,
aperol,Aperol For-Ever,"<p>Elegancka babcia w okularach, spritz w dłoni i talia kart na stole. Kolorowa ilustracja, która nie traktuje siebie zbyt serio.</p>",OKŁADKA,Ilustracja,"Ilustracja, pop-art, lato, drink",TRUE,Rozmiar,A4,APEROL-A4,120,,,deny,manual,49.00,TRUE,TRUE,,Aperol For-Ever — plakat | OKŁADKA,"Elegancka babcia w okularach, spritz w dłoni i talia kart na stole. Kolorowa ilustracja, która nie traktuje siebie zbyt serio.",active
aperol,,,,,,,,A3,APEROL-A3,180,,,deny,manual,79.00,TRUE,TRUE,,,,
aperol,,,,,,,,B2,APEROL-B2,320,,,deny,manual,135.00,TRUE,TRUE,,,,
marlboro,Red Nails,"<p>Komiksowy pop-art na intensywnym turkusie: czerwone paznokcie i vintage paczka. Mocny, graficzny akcent na jednej ścianie.</p>",OKŁADKA,Ilustracja,"Ilustracja, pop-art, vintage, grafika",TRUE,Rozmiar,A4,MARLBORO-A4,120,,,deny,manual,49.00,TRUE,TRUE,,Red Nails — plakat | OKŁADKA,"Komiksowy pop-art na intensywnym turkusie: czerwone paznokcie i vintage paczka. Mocny, graficzny akcent na jednej ścianie.",active
marlboro,,,,,,,,A3,MARLBORO-A3,180,,,deny,manual,79.00,TRUE,TRUE,,,,
marlboro,,,,,,,,B2,MARLBORO-B2,320,,,deny,manual,135.00,TRUE,TRUE,,,,
cherry-disco,Cherry Disco,"<p>Czerwone wiśnie i lustrzane kule disco unoszące się na turkusowej wodzie. Wakacyjny, imprezowy nastrój w formie fotografii.</p>",OKŁADKA,Abstrakcja,"Abstrakcja, lato, kule-disco, woda",TRUE,Rozmiar,A4,CHERRY-DISCO-A4,120,,,deny,manual,49.00,TRUE,TRUE,,Cherry Disco — plakat | OKŁADKA,"Czerwone wiśnie i lustrzane kule disco unoszące się na turkusowej wodzie. Wakacyjny, imprezowy nastrój w formie fotografii.",active
cherry-disco,,,,,,,,A3,CHERRY-DISCO-A3,180,,,deny,manual,85.00,TRUE,TRUE,,,,
cherry-disco,,,,,,,,B2,CHERRY-DISCO-B2,320,,,deny,manual,139.00,TRUE,TRUE,,,,
